REGION,ID,regionid,diffei.abs,population08,logpop08,protest.density08,petrovscore03,comp03,protestsum2007,protestsum2008,protests2011,protest.density,regionalsecond,competitive,nsdifference1103,urban2010,agemploy2010,KPRFleadership,KPRFViceSpeaker,KPRFcommittees,protestbin0711,protesttotal0711,percentmargin,govpop2010,govpopdiff,petrovdem,model2slope,fullfraudscore,samplefraudscore,dichfraud,RUSSIAN,GOVEMPLOY2010,INCOME2010,logincome,POPULATION2010,logpop,POVERTY2010,PENSION2010,INTERNET2010,HIGHERED2010,NEWSPAPER2010,CONCENTRATION2010,concentrationshort,AG2010,nonstandardei,standardei,diffei,TV2010
Tver Oblast,72,72,0.622968386,13.87,7.23489842,0.504686373,29,0.904,3,7,4,0.295420975,0.2465,0.8486,0.03292964,74.7,5.4,0,0,0,18,22,0.08893263,15,-18.44,31,1.345,0,0,0,0.935,1.5041,139.254,4.936299604,13.54,2.605648267,0.131,3.148,0.825,1.8,5.04,0.12,0.057203,5.4,0.7783,0.3157,0.4626,98.7
Tomsk Oblast,73,73,0.643777722,10.26,6.933423026,0.487329435,30,0.409,3,5,8,0.764818356,0.2284,0.8451,0.004087234,70.2,4.8,0,0,0,28,39,0.085223696,58,24.56,29,1.627,0,0,0,0.921,1.3332,150.979,5.017140754,10.46,2.347558459,0.174,2.608,0.967,2.4,7.6,0.1,0.078044,4.8,0.8305,0.342,0.4885,99
Tula Oblast,74,74,0.044043644,15.88,7.370230642,0.503778338,28,0.719,2,8,12,0.772200772,0.1833,0.6293,0.030513121,79.4,5.6,0,0,0,26,43,0.345456249,33,-0.44,27,1.055,0,0,0,0.953,1.0785,153.582,5.034234626,15.54,2.743417345,0.11,3.561,0.719,1.96,6,0.2,0.093483,5.6,0.7745,0.5901,0.1844,99.4
Tyumen Oblast,75,75,-0.147425212,33.31,8.111027838,0.210147103,34,0.761,2,7,9,0.265095729,0.1824,0.6376,-0.000797101,78.1,1.1,0,0,0,30,41,0.392475764,46,12.56,30,1.702,3,2,1,0.733,1.4604,280.494,5.636552334,33.95,3.524888854,0.125,2.285,0.879,2.35,7.98,0.3,0.257165,1.1,0.868,0.6048,0.2632,98.3
Republic of Udmurtia,76,76,0.591754854,15.33,7.334981879,0.260926288,30,0.861,3,4,6,0.393959291,0.133,0.5735,0.006749875,69.2,7.2,0,0,0,28,36,0.152610424,25,-8.44,27,1.505,0,0,0,0.622,1.1392,124.231,4.822142736,15.23,2.723267167,0.146,2.701,0.84,1.97,7.86,0.13,0.107888,7.2,0.8935,0.4222,0.4713,92.3
Ulyanovsk Oblast,77,77,0.45391648,13.16,7.182352112,0.987841945,25,0.673,3,13,17,1.315789474,0.1595,0.4959,0.047910256,73.5,6.3,0,0,0,34,71,0.137835667,46,12.56,26,1.514,0,0,0,0.736,1.1935,129.052,4.860215424,12.92,2.558776498,0.17,3.024,0.828,1.85,6.67,0.1,0.053086,6.3,0.8432,0.3908,0.4524,96.9
Khabarovsk Krai,79,79,0.518092282,13.55,7.211556733,0.590405904,25,0.185,5,8,20,1.488095238,0.1893,0.71,0.024763766,81.8,6.1,0,0,0,24,45,0.098838617,67,33.56,26,1.439,1,1,1,0.918,1.5246,226.073,5.420857956,13.44,2.598235335,0.158,2.844,0.892,2.4,3.2,0.1,0.037004,6.1,0.7862,0.3494,0.4368,100
Khanty-Mansi Autonomous Okrug,80,80,0.52862928,14.91,7.307202315,0.067069081,33,0.102,0,1,3,0.195822454,0.2356,0.7949,0.033539533,91.5,0.3,0,0,0,7,9,0.14265195,62,28.56,30,1.471,0,0,0,0.681,1.332,312.639,5.74504917,15.32,2.729159164,0.108,2.167,0.899,2.48,5.86,0.42,0.39233,0.3,0.6921,0.3908,0.3013,99.7
Chelyabinsk Oblast,81,81,0.059746482,34.89,8.157370441,0.143307538,36,0.585,4,5,8,0.229951135,0.1461,0.5888,0.044766543,82,6.2,0,0,0,29,36,0.237172536,52,18.56,32,1.005,0,0,0,0.838,0.9829,167.144,5.118855716,34.79,3.549329989,0.104,2.846,0.851,1.98,9.2,0.18,0.125116,6.2,0.576,0.4949,0.0811,99.8
Chechnya,82,82,-0.033396897,11.97,7.087573706,0.083542189,22,NA,0,1,0,0,0.092,0.208,-0.010142745,35,10,0,0,0,2,2,0.98730537,NA,NA,16,NA,3,3,1,0.019,1.0223,65.747,4.185814043,12.69,2.540814282,0.201,2.517,0.697,1.15,0.5,0.1,0.093563,10,0.9732,0.9952,-0.022,84.7
Republic of Chuvash,84,84,0.618694154,12.63,7.141245122,0.554235946,33,0.97,3,7,7,0.559105431,0.1965,0.7478,0.021268451,58.8,7.9,0,0,0,35,47,0.153272139,41,7.56,28,1.4,0,0,0,0.269,0.9521,108.847,4.689943226,12.52,2.527327366,0.187,2.711,0.878,1.92,11.26,0.1,0.086765,7.9,0.8947,0.3925,0.5022,100
Chukotka Autonomous Okrug,85,85,-0.539823859,0.53,3.970291914,0,19,0.126,0,0,0,0,0.119,0.4071,0.035906208,64.8,1,0,0,0,0,0,0.51630891,NA,NA,16,1.449,0,0,0,0.525,5.718,374.22,5.92484386,0.51,-0.673344553,0.105,2.781,0.806,2.19,2.23,0.2,0.209339,1,0.7891,0.692,0.0971,97.3
Yamalo-Nenets Autonomous Okrug,87,87,NA,5.24,6.261491684,0.190839695,29,0.138,0,1,0,0,0.1335,0.4859,0.015622875,84.7,0.2,0,0,0,2,2,0.540248008,NA,NA,27,1.525,1,1,1,0.617,2.1884,418.646,6.037025694,5.23,1.654411278,0.077,2.115,0.929,2.67,1.83,0.3,0.246716,0.2,0.8829,0.6966,0.1863,100
Yaroslavl Oblast,88,88,0.666788493,12.92,7.163946684,1.160990712,31,0.501,8,15,5,0.393081761,0.146,0.6458,0.021054664,82.2,4.2,0,0,0,31,47,0.031303308,21,-12.44,34,1.252,0,0,0,0.96,1.1728,145.477,4.980017999,12.72,2.543175558,0.128,3.163,0.858,2.11,6.18,0.14,0.077183,4.2,0.6935,0.24,0.4535,98
